object,ra,dec,sma1_25p5,pa1_25p5,ellip1_25p5,sma1_26p5,pa1_26p5,ellip1_26p5,sma2_25p5,pa2_25p5,ellip2_25p5,sma2_26p5,pa2_26p5,ellip2_26p5,mag1,emag1,mag2,emag2,sky1,ssky1,esky1,sky2,ssky2,esky2,c31_1,c42_1,c31_2,c42_2,mabs1,mabs2,mstar,dmean,dstd,dmin,dmax,dmed,type,bar,ring,multiple,compactness,t,e_t,lc,e_lc,logd25,e_logd25,logr25,e_logr25,pa,brief,e_brief,bt,e_bt,it,e_it,ubt,bvt,ube,bve,vmaxg,e_vmaxg,vdis,e_vdis,mg2,e_mg2,m21,e_m21,mfir,vrad,e_vrad,vopt,e_vopt,v,e_v,ag,ai,incl,a21,lambda,logdc,btc,ubtc,bvtc,bri25,vrot,e_vrot,m21c,hic,vlg,vgsr,vvir,v3k,modz,mod0,mabs,summary,x,y,z,spt_ind,cntr
NGC4237,184.297628,15.324096,102.4,-74.1,0.389,112.5,-81.9,0.35,85.8,-69.5,0.308,104.5,-73.7,0.349,11.189,0.001,11.644,0.001,0.067368,0.019338,0.001996,0.186523,0.051625,0.003152,2.773,2.795,2.754,2.778,-20.541,-20.085,10.364,22.173,4.105,16.8,31.9,21.6,SABb,B,R,,,4.0,0.5,4.6,0.8,1.261,0.052,0.19,0.032,104.89,,,12.38,0.233,10.85,0.3,,0.87,0.2,0.75,108.74,2.83,64.08,20.08,0.126,0.01,16.132,0.107,11.709,864.3,3.3,863.6,2.2,863.8,1.3,0.13,0.307,51.72,0.03,0.861,1.266,11.938,,0.8,22.08,138.52,3.73,16.105,4.167,755.8,813.5,962.8,1187.8,30.783,31.819,-18.845,"<a href=""/data/SPITZER/S4G/galaxies/NGC4237.html"">Data Access</a>",-0.9617345653033063,-0.0722731451874874,0.2642786756164202,212023331,1083
NGC4238,184.232751,63.409927,59.0,34.3,0.658,64.8,36.9,0.636,56.0,36.1,0.698,63.4,35.3,0.699,13.806,0.001,14.248,0.002,0.012914,0.013333,0.001847,0.035072,0.01341,0.001816,2.783,2.789,2.846,2.845,-19.34,-18.898,9.873,,,,,,Sc,,,,,6.5,0.8,,,1.239,0.036,0.517,0.029,36.0,,,14.241,0.284,13.442,0.139,,,,,112.92,6.23,,,,,15.5,0.092,13.727,2765.0,6.0,2758.3,2.9,2759.5,2.6,0.112,0.911,75.1,0.06,,1.229,13.205,,,23.162,116.85,6.46,15.435,2.23,2895.9,2868.9,3023.7,2881.5,33.217,,-20.012,"<a href=""/data/SPITZER/S4G/galaxies/NGC4238.html"">Data Access</a>",-0.4463832984497752,-0.0330368855613156,0.8942318016361906,211120112,1084
NGC4242,184.375759,45.61928,155.4,27.2,0.286,174.1,23.6,0.276,141.8,30.7,0.306,158.3,30.4,0.302,11.686,0.001,12.203,0.007,-0.001409,0.013718,0.007019,-0.041588,0.025072,0.005839,2.53,2.524,2.544,2.521,-17.803,-17.286,9.313,7.903,2.321,5.81,10.4,7.5,Sd,B,,,,7.9,0.5,6.6,0.6,1.58,0.027,0.153,0.024,20.76,23.524,0.328,11.591,0.167,10.16,0.1,,0.54,-0.12,0.61,50.23,1.54,,,,,13.643,0.119,,516.4,4.3,530.3,23.4,516.8,3.5,0.053,0.28,51.47,0.03,1.447,1.579,11.257,,0.496,22.92,64.21,2.03,13.616,2.359,565.0,570.5,736.7,732.4,30.185,28.82,-18.928,"<a href=""/data/SPITZER/S4G/galaxies/NGC4242.html"">Data Access</a>",-0.6973841486274008,-0.0533639955252131,0.7147080755279182,213000022,1085
NGC4244,184.372822,37.807293,431.8,45.1,0.812,512.4,45.8,0.793,437.2,46.6,0.817,970.6,42.2,0.82,10.218,0.001,10.45,0.006,0.032618,0.00487,0.001456,0.096937,0.015942,0.003384,2.853,2.865,3.319,3.217,-17.846,-17.614,9.12,4.101,1.737,0.229,6.47,4.49,Sc,,,,,6.0,0.6,7.0,0.5,2.21,0.026,0.35,0.027,42.19,22.34,0.331,10.458,0.424,11.371,0.314,,0.5,0.0,0.58,89.07,2.09,,,,,11.404,0.172,11.177,244.8,3.1,243.7,13.3,244.7,2.1,0.09,0.613,65.39,0.04,1.28,2.204,9.754,,0.412,24.565,97.97,2.33,11.363,1.609,252.2,271.9,438.1,495.5,,28.197,-18.443,"<a href=""/data/SPITZER/S4G/galaxies/NGC4244.html"">Data Access</a>",-0.787777101636943,-0.0602402670934776,0.6130076250398555,212203313,1086
NGC4245,184.403289,29.607996,118.1,0.5,0.172,136.7,-2.5,0.18,107.0,-1.3,0.175,131.5,-6.2,0.227,10.904,0.001,11.417,0.001,0.028586,0.010992,0.003802,0.050027,0.029072,0.002849,5.362,4.601,5.264,4.557,-19.03,-18.517,9.801,9.7,,9.7,9.7,9.7,S0-a,B,R,,,0.1,0.5,5.0,1.3,1.407,0.032,0.197,0.028,145.82,21.187,0.307,12.337,0.073,10.896,0.163,0.47,0.91,0.455,0.92,94.21,4.45,,,,,18.129,0.13,13.144,885.8,5.2,869.2,2.2,871.7,4.5,0.09,0.091,56.13,0.03,0.51,1.407,12.143,0.417,0.845,22.98,113.47,5.44,18.099,5.956,836.2,870.6,1033.4,1154.2,30.951,,-18.808,"<a href=""/data/SPITZER/S4G/galaxies/NGC4245.html"">Data Access</a>",-0.866859744065143,-0.0667512780668588,0.4940632054664219,212212233,1087
NGC4248,184.46028,47.409078,96.0,-66.9,0.377,105.5,-57.7,0.244,96.3,-70.0,0.539,115.9,-63.4,0.51,12.726,0.003,13.224,0.012,0.038134,0.006881,0.003707,0.106531,0.009925,0.001778,3.109,3.105,3.078,3.05,-16.59,-16.093,8.814,7.3,,7.3,7.3,7.3,SBd,B,,,,8.0,2.0,,,1.303,0.035,0.349,0.027,108.0,23.373,0.389,13.166,0.058,,,,0.59,,,28.82,2.62,,,,,15.741,0.273,,484.0,13.6,598.0,100.0,486.1,14.4,0.084,0.637,79.62,0.09,,1.297,12.444,,0.502,22.713,29.3,2.67,15.649,3.205,543.5,545.8,711.5,693.0,30.185,,-17.741,"<a href=""/data/SPITZER/S4G/galaxies/NGC4248.html"">Data Access</a>",-0.6747097578054887,-0.0526301989784278,0.7362043227783643,211100320,1088
NGC4250,184.359304,70.802562,98.3,-14.0,0.537,126.2,-11.9,0.573,67.5,-9.6,0.342,108.8,-9.8,0.446,11.763,0.001,12.195,0.004,0.003674,0.020139,0.002656,0.048662,0.018539,0.00338,5.484,4.533,5.838,4.814,-20.802,-20.37,10.45,,,,,,S0-a,B,R,,,-0.8,0.7,,,1.272,0.046,0.3,0.028,165.34,,,13.205,0.554,,,,,,,56.54,3.01,222.63,19.73,,,14.997,0.23,12.191,2043.0,6.3,1928.5,28.1,2037.5,17.8,0.089,0.0,71.65,0.05,,1.268,13.086,,,23.243,59.57,3.2,14.944,1.858,2207.3,2167.5,2313.0,2116.5,32.661,,-19.575,"<a href=""/data/SPITZER/S4G/galaxies/NGC4250.html"">Data Access</a>",-0.3278731268436019,-0.0249942146612092,0.9443910746757769,211010311,1089
NGC4252,184.628916,5.559509,48.6,50.4,0.668,62.9,48.7,0.641,46.6,48.3,0.732,62.7,48.7,0.767,14.437,0.006,14.912,0.003,0.064133,0.013208,0.001638,0.092355,0.013273,0.001328,2.825,2.801,2.711,2.745,-16.14,-15.665,8.618,,,,,,Sb,,,,,3.1,0.7,,,1.076,0.042,0.46,0.028,48.17,,,14.88,0.178,13.887,0.055,,,,,69.02,3.38,,,,,15.983,0.29,,863.6,6.5,878.1,4.5,873.3,5.5,0.087,0.649,75.86,0.07,,1.066,14.138,,,23.258,71.18,3.5,15.915,1.777,719.7,791.8,926.1,1213.6,30.694,31.68,-16.556,"<a href=""/data/SPITZER/S4G/galaxies/NGC4252.html"">Data Access</a>",-0.992049732961618,-0.0803223549627619,0.0968795469849988,212003001,1090
PGC071479,351.83795,-23.499445,34.4,-39.6,0.534,43.1,-40.1,0.51,30.3,-36.7,0.626,31.9,-37.6,0.61,15.003,0.006,15.613,0.005,0.040495,0.013071,0.001649,0.098904,0.012782,0.001608,2.751,2.811,2.455,2.503,-16.815,-16.204,8.987,,,,,,S0-a,,,,,-1.0,2.0,,,1.026,0.088,0.401,0.051,150.5,,,14.99,0.5,,,,,,,30.8,2.05,,,,,17.331,0.266,,1759.0,8.5,1754.6,31.1,1758.7,5.9,0.105,0.0,90.0,0.83,,1.02,14.859,,,23.78,30.8,,16.505,1.647,1835.5,1802.8,1639.8,1445.3,31.916,,-17.057,"<a href=""/data/SPITZER/S4G/galaxies/PGC071479.html"">Data Access</a>",0.9077745234122122,-0.1301986133765942,-0.3987401857331953,132211201,1852
PGC072006,354.703467,-5.746602,47.4,53.0,0.646,62.0,54.0,0.669,42.5,51.5,0.616,56.9,54.5,0.631,15.164,0.007,15.523,0.001,0.085028,0.011602,0.001216,0.095263,0.012051,0.001316,2.541,2.548,2.513,2.514,-17.088,-16.729,8.911,,,,,,SBm,B,R,,,9.0,0.5,8.0,0.5,1.04,0.046,0.338,0.035,,,,15.085,0.467,,,,,,,43.41,2.4,,,,,15.108,0.185,,2042.2,8.7,2054.0,60.0,2042.5,6.2,0.139,0.623,77.72,0.08,1.722,1.04,14.32,,,23.335,44.43,2.47,15.03,0.71,2204.5,2142.6,2003.3,1691.4,32.341,,-18.021,"<a href=""/data/SPITZER/S4G/galaxies/PGC072006.html"">Data Access</a>",0.9907262016683075,-0.0918464259717384,-0.1001290535464412,132002200,1853
PGC072252,356.043786,-6.169588,49.5,54.6,0.35,53.1,56.6,0.141,50.4,55.3,0.451,59.2,59.3,0.435,13.773,0.001,14.109,0.003,0.105936,0.017983,0.002423,0.244228,0.016712,0.002058,3.145,3.076,2.998,2.97,-18.439,-18.102,9.435,27.686,4.998,22.6,35.3,26.5,SBc,B,,,,5.0,0.5,4.0,0.5,1.229,0.03,0.265,0.021,,,,13.527,0.338,12.69,0.062,,,,0.88,84.0,1.35,,,,,14.752,0.083,13.49,2109.5,3.9,2096.1,20.2,2109.1,3.2,0.114,0.451,59.04,0.03,0.887,1.229,12.95,,,22.907,97.95,1.61,14.719,1.769,2268.3,2205.5,2065.8,1759.4,32.384,31.86,-19.434,"<a href=""/data/SPITZER/S4G/galaxies/PGC072252.html"">Data Access</a>",0.9918390179854588,-0.0685945015722516,-0.1074716555920456,132002231,1854
PGC090540,20.34869,-1.86272,29.4,26.4,0.77,34.3,-17.1,0.363,33.1,24.2,0.854,43.5,24.0,0.856,16.945,0.012,17.448,0.003,0.084692,0.012025,0.001317,0.191185,0.01224,0.001391,2.377,2.404,2.243,2.275,-16.096,-15.593,8.621,40.575,0.574,39.8,41.1,40.7,Sd,,,,,7.9,1.3,,,1.033,0.044,0.77,0.024,27.0,,,16.83,0.5,15.63,0.077,,,,,53.75,3.65,,,,,,,,2217.0,7.6,2217.0,8.0,2217.0,3.9,0.176,1.386,90.0,0.83,,1.019,15.262,,,24.194,53.75,,,,2361.5,2273.6,2160.8,1911.3,32.507,,-17.244,"<a href=""/data/SPITZER/S4G/galaxies/PGC090540.html"">Data Access</a>",0.9370983237621693,0.3475487951394413,-0.0325048703928382,100020023,1855
PGC090553,23.88143,2.03158,39.7,79.1,0.782,47.9,88.8,0.754,46.9,75.4,0.871,53.2,75.2,0.827,16.407,0.013,16.929,0.004,0.070969,0.011758,0.001435,0.152232,0.012237,0.001629,1.919,1.822,1.913,1.764,-16.932,-16.41,8.969,46.55,0.526,45.8,47.0,46.7,Sd,,,,,7.6,1.3,,,1.006,0.046,0.754,0.033,78.0,24.424,0.389,16.395,0.46,14.945,0.084,,,,,69.36,3.05,,,,,,,,2609.2,6.5,2780.0,275.0,2609.3,5.4,0.143,1.349,90.0,0.83,,0.989,14.896,,,23.663,69.36,,,,2762.8,2668.6,2567.9,2313.0,32.873,,-17.977,"<a href=""/data/SPITZER/S4G/galaxies/PGC090553.html"">Data Access</a>",0.9138104702556444,0.4045907790746004,0.0354503305903601,232120311,1856
PGC090694,56.825793,-14.697088,38.9,-43.7,0.731,42.2,-43.5,0.686,38.9,-40.1,0.76,47.1,-42.5,0.75,15.314,0.003,15.735,0.001,0.049177,0.012046,0.002035,0.100042,0.011909,0.00168,2.907,2.785,2.889,2.822,-17.321,-16.9,9.05,33.65,0.37,33.2,34.1,33.65,Sd,,,,,7.9,1.3,,,1.108,0.047,0.704,0.027,136.0,,,15.67,0.5,14.285,0.075,,,,,83.5,7.22,,,,,,,,1697.0,7.6,1721.1,45.0,1697.7,6.0,0.248,1.271,90.0,0.83,,1.103,14.146,,,23.536,83.5,,,,1688.7,1620.2,1547.5,1574.1,31.809,,-17.663,"<a href=""/data/SPITZER/S4G/galaxies/PGC090694.html"">Data Access</a>",0.5292828927601053,0.8096242785561258,-0.2537087838526046,102112323,1857
PGC091215,189.229038,1.615085,34.0,4.2,0.713,42.0,9.3,0.701,34.6,-3.0,0.813,43.4,0.3,0.807,16.492,0.014,16.98,0.002,0.048273,0.012938,0.001601,0.066327,0.013159,0.001607,3.368,3.185,3.224,3.124,-15.765,-15.277,8.477,28.275,0.838,27.4,29.4,28.15,Sd,,,,,7.9,1.3,,,1.023,0.044,0.798,0.029,1.94,,,16.568,0.258,15.838,0.223,,,,,39.85,2.79,,,,,,,,591.0,7.6,589.7,2.0,589.8,1.4,0.09,1.434,90.0,0.83,,0.999,15.042,,,23.829,39.85,,,,424.9,506.0,629.8,925.4,29.942,,-14.9,"<a href=""/data/SPITZER/S4G/galaxies/PGC091215.html"">Data Access</a>",-0.9866629808556723,-0.1603177415077815,0.0281848180204074,212001012,1858
PGC091228,191.752715,32.651635,37.3,67.1,0.858,42.4,69.4,0.844,34.9,70.5,0.834,41.0,72.8,0.833,17.117,0.054,17.336,0.013,0.048221,0.010751,0.001346,-0.016942,0.010025,0.001597,2.428,2.393,2.542,2.356,-14.251,-14.032,7.672,18.775,0.236,18.6,19.1,18.7,Sd,,,,,7.9,1.3,,,1.113,0.062,0.79,0.065,69.07,,,17.041,0.354,16.394,0.11,,,,,28.99,2.31,,,,,16.979,0.229,,519.0,6.8,520.3,6.7,519.7,3.4,0.059,1.421,90.0,0.83,,1.087,15.56,,,24.766,28.99,,16.153,0.593,508.7,542.8,702.3,778.6,30.185,,-14.624,"<a href=""/data/SPITZER/S4G/galaxies/PGC091228.html"">Data Access</a>",-0.8243153781828556,-0.1714985963240037,0.539529784859142,212231303,1859
PGC091408,225.73095,-13.32949,44.1,-27.8,0.857,54.3,-27.8,0.857,32.9,-26.1,0.806,44.6,-26.1,0.833,16.556,0.003,16.925,0.017,0.074532,0.014272,0.002403,0.080976,0.01436,0.001826,2.656,2.656,2.631,2.639,-16.917,-16.548,8.851,49.5,0.476,48.8,49.8,49.7,Sd,,,,,7.9,1.3,,,1.14,0.042,0.902,0.027,154.5,,,16.43,0.5,15.82,0.074,,,,,75.64,5.24,,,,,,,,2515.0,7.6,,,2515.0,7.6,0.403,1.615,90.0,0.83,,1.142,14.406,,,24.074,75.64,,,,2373.2,2480.3,2521.4,2716.6,32.839,,-18.434,"<a href=""/data/SPITZER/S4G/galaxies/PGC091408.html"">Data Access</a>",-0.6792239269208878,-0.6967792176569707,-0.2305505995210341,123131101,1860
PGC091413,226.63875,-12.71709,45.9,63.8,0.822,,,,44.3,64.0,0.831,49.6,68.4,0.813,16.201,0.001,16.485,0.001,0.041028,0.153032,0.004541,0.101129,0.106534,0.004555,2.888,2.816,2.763,2.706,-17.359,-17.075,8.963,51.525,0.568,50.7,51.9,51.75,Sd,,,,,7.9,1.3,,,1.036,0.082,0.91,0.076,59.0,,,16.75,0.5,16.315,0.079,,,,,75.43,3.79,,,,,15.46,0.234,,2328.0,6.0,2395.4,39.2,2329.5,8.2,0.457,1.628,90.0,0.83,,1.042,14.659,,,23.859,75.43,,14.634,-0.025,2192.7,2299.0,2339.8,2526.6,32.661,,-18.002,"<a href=""/data/SPITZER/S4G/galaxies/PGC091413.html"">Data Access</a>",-0.6697530236645262,-0.7092041398474964,-0.2201371738607489,123131102,1861
PGC1059326,213.820207,-4.358506,33.0,15.0,0.499,56.0,12.4,0.64,30.0,17.3,0.504,40.0,16.9,0.504,15.38,0.012,15.821,0.022,0.046553,0.013515,0.001566,0.056981,0.014234,0.001638,4.071,3.613,3.744,3.394,-17.584,-17.143,9.171,,,,,,S?,,,,,3.6,5.0,,,1.02,0.048,0.36,0.028,15.5,,,15.253,0.319,14.185,0.079,,,,,95.12,3.64,,,,,14.133,0.166,,2734.3,7.4,2903.2,44.0,2739.0,20.2,0.15,0.546,67.95,0.04,,1.02,14.539,,,23.475,102.62,3.95,14.089,-0.45,2599.5,2698.8,2780.0,2996.8,33.036,,-18.497,"<a href=""/data/SPITZER/S4G/galaxies/PGC1059326.html"">Data Access</a>",-0.8283856269934442,-0.5549790255269499,-0.0759969355687154,120232211,1862
PGC1063216,213.946213,-4.075887,34.6,8.4,0.222,44.8,32.2,0.188,32.1,0.8,0.258,39.5,4.3,0.209,15.194,0.02,15.598,0.003,0.054524,0.012081,0.001402,0.103274,0.011962,0.001536,2.88,2.855,2.794,2.779,-17.765,-17.362,9.215,,,,,,,,,,,,,,,1.03,0.047,0.13,0.028,4.0,,,15.163,0.374,,,,,,,24.72,0.96,,,,,15.132,0.171,,2729.7,6.3,2879.4,49.8,2732.1,13.9,0.185,,43.01,0.02,,,14.951,,,24.053,36.24,1.46,15.11,0.159,2594.1,2693.1,2774.6,2989.2,33.036,,-18.086,"<a href=""/data/SPITZER/S4G/galaxies/PGC1063216.html"">Data Access</a>",-0.8274640136866892,-0.5570020392775286,-0.0710776638205651,120232213,1863
UGC00017,0.929725,15.218985,46.8,-14.2,0.206,87.4,11.7,0.431,43.1,-42.9,0.323,71.9,25.5,0.253,14.88,0.006,15.134,0.044,0.052073,0.012442,0.002352,0.126339,0.012489,0.001946,3.481,3.281,3.539,3.341,-15.689,-15.436,8.273,13.0,,13.0,13.0,13.0,Sm,,,,,9.1,0.5,9.0,0.4,1.388,0.056,0.148,0.026,,25.06,0.333,15.087,0.253,,,-0.02,0.61,-0.08,0.68,42.43,1.76,,,,,15.645,0.11,,877.7,3.7,,,877.7,3.7,0.212,0.274,50.71,0.03,1.801,1.402,14.599,-0.082,0.524,25.461,54.82,2.33,15.619,1.02,1116.8,1025.4,932.5,529.4,30.694,,-16.095,"<a href=""/data/SPITZER/S4G/galaxies/UGC00017.html"">Data Access</a>",0.9648025309530246,0.0156569956484576,0.2625089231891026,232021233,1864
UGC00099,2.669753,13.709841,49.3,-54.8,0.19,68.0,73.5,0.084,42.9,-45.3,0.298,69.3,-35.3,0.242,14.543,0.006,14.896,0.006,0.065291,0.012406,0.00182,0.146988,0.012553,0.001469,3.429,3.247,3.333,3.221,-17.33,-16.977,9.003,23.7,,23.7,23.7,23.7,Sm,,,,,8.8,0.5,9.0,0.7,1.401,0.055,0.0,0.047,,,,14.65,0.5,13.429,0.109,,,,,34.77,1.07,,,,,15.332,0.112,,1740.0,4.5,,,1740.0,4.5,0.287,0.0,0.0,0.02,1.749,1.428,14.361,,,25.395,,,15.311,0.95,1972.3,1880.6,1785.0,1392.7,32.067,,-17.707,"<a href=""/data/SPITZER/S4G/galaxies/UGC00099.html"">Data Access</a>",0.9704539552285676,0.0452520080590287,0.2370050137610065,232021303,1865
UGC10477,249.39452,37.28444,54.5,23.3,0.733,64.0,22.4,0.69,45.6,20.5,0.689,59.6,22.1,0.702,15.435,0.013,15.839,0.002,-0.003004,0.017387,0.002672,-0.038288,0.018511,0.002501,3.295,3.168,3.183,3.114,-15.538,-15.134,8.324,,,,,,Sc,,,,,4.7,1.6,,,1.063,0.044,0.575,0.028,23.77,,,15.403,0.348,14.585,0.101,,,,,45.32,2.46,,,,,15.785,0.298,,851.0,10.0,872.5,1.5,872.1,2.4,0.061,0.928,80.36,0.1,,1.046,14.41,,,23.415,45.97,2.5,15.686,1.276,1008.2,1029.9,1111.7,899.2,31.107,,-16.697,"<a href=""/data/SPITZER/S4G/galaxies/UGC10477.html"">Data Access</a>",-0.2800098241178063,-0.7447377793876548,0.605772348618076,213231213,2316
UGC09760,228.00954,1.69827,74.8,59.7,0.814,81.3,75.9,0.514,62.9,54.7,0.817,84.6,60.4,0.82,15.517,0.026,15.851,0.015,0.042078,0.01727,0.002929,0.088862,0.017417,0.002028,2.898,2.842,3.007,2.94,-16.382,-16.048,8.61,23.975,6.272,17.8,30.8,23.65,Scd,,,,,6.6,0.8,,,1.249,0.044,0.729,0.037,61.2,,,15.202,0.647,14.362,0.064,,,,,62.04,1.41,,,,,15.205,0.154,,2021.1,4.6,2023.0,60.0,2021.1,3.3,0.22,1.27,85.14,0.19,,1.241,13.705,,,23.773,62.26,1.42,15.013,1.307,1946.7,2037.5,2104.9,2206.4,32.426,32.34,-18.721,"<a href=""/data/SPITZER/S4G/galaxies/UGC09760.html"">Data Access</a>",-0.6687130025502616,-0.7429297570970501,0.0296360631652025,210200330,2287
UGC09815,229.81264,44.91631,47.7,6.3,0.727,62.4,5.5,0.737,43.4,7.3,0.721,47.5,7.3,0.687,15.302,0.002,15.719,0.001,0.002045,0.012973,0.001897,0.003783,0.012157,0.002247,2.898,2.851,2.89,2.878,-17.703,-17.287,9.2,,,,,,Sd,,,,D,7.9,0.9,,,1.166,0.036,0.609,0.027,7.56,,,15.746,0.329,14.993,0.238,,,,,84.75,6.3,,,,,16.077,0.25,,2567.0,12.1,2582.4,6.1,2579.3,5.8,0.094,1.101,90.0,0.83,,1.151,14.545,,,24.096,84.75,,15.251,0.706,2696.1,2712.3,2833.4,2678.4,33.068,,-18.523,"<a href=""/data/SPITZER/S4G/galaxies/UGC09815.html"">Data Access</a>",-0.4569543467382207,-0.5409744808865228,0.7060731803620665,213312112,2288
UGC09816,229.699973,59.462504,64.1,62.2,0.431,94.2,83.4,0.45,51.4,61.6,0.605,98.2,61.6,0.605,14.819,0.002,15.373,0.02,-0.004885,0.015472,0.006293,-0.042193,0.012999,0.006576,4.065,3.724,3.941,3.617,-15.843,-15.289,8.558,,,,,,I,,,,,9.8,1.0,,,1.09,0.04,0.434,0.031,62.69,,,15.476,0.326,14.737,0.12,,,,,37.13,2.93,,,,,16.183,0.25,,660.0,10.0,680.9,1.5,680.4,2.5,0.064,0.804,90.0,0.83,,1.078,14.607,,,23.773,37.13,,15.356,0.75,849.8,836.7,963.1,738.8,30.783,,-16.176,"<a href=""/data/SPITZER/S4G/galaxies/UGC09816.html"">Data Access</a>",-0.3286354466288559,-0.387513247212165,0.8612968283084154,211303202,2289
UGC09837,230.965334,58.052917,57.1,-35.4,0.161,64.8,-53.8,0.127,50.8,-22.7,0.123,58.7,-26.0,0.069,13.678,0.004,14.182,0.006,-0.01458,0.011087,0.001755,0.013302,0.01058,0.001359,2.962,2.959,3.002,2.991,-19.396,-18.893,9.941,41.2,,41.2,41.2,41.2,SABc,B,,,,5.3,0.6,2.0,0.5,1.226,0.061,0.035,0.045,,22.987,0.305,13.825,0.188,13.655,0.193,,0.44,,0.53,70.66,1.93,,,,,15.069,0.113,,2656.6,4.7,2661.4,3.9,2659.5,2.7,0.074,0.062,23.23,0.02,0.758,1.231,13.675,,0.399,23.625,179.15,6.74,15.047,1.372,2826.3,2815.8,2940.6,2718.4,33.159,,-19.483,"<a href=""/data/SPITZER/S4G/galaxies/UGC09837.html"">Data Access</a>",-0.3332446888639713,-0.4110142015139121,0.8485371550485201,211220232,2290
UGC09845,231.522848,9.204363,29.2,-69.5,0.763,54.2,-80.5,0.838,28.7,-63.6,0.793,35.3,-71.8,0.772,15.934,0.034,16.203,0.001,0.006861,0.013121,0.006278,0.044346,0.013131,0.004481,2.211,2.103,2.528,2.497,-17.226,-16.957,8.899,42.85,0.85,42.2,44.1,42.55,Sc,,,,,5.8,0.6,,,1.13,0.035,0.639,0.031,111.2,,,15.429,0.301,14.581,0.062,,,,,73.03,2.35,,,,,15.468,0.144,,1894.1,5.0,1898.0,2.7,1897.1,2.1,0.148,1.088,81.9,0.12,,1.119,14.185,,,23.605,73.77,2.38,15.351,1.166,1865.8,1945.1,2019.2,2056.4,32.341,,-18.156,"<a href=""/data/SPITZER/S4G/galaxies/UGC09845.html"">Data Access</a>",-0.6141910792574421,-0.7727763468249425,0.1599563563865929,213101310,2291
UGC09856,231.6264,41.28973,67.9,-27.9,0.813,74.4,-26.9,0.771,69.1,-27.8,0.856,96.2,-27.5,0.853,14.775,0.009,15.224,0.004,-0.018307,0.01253,0.00173,-0.052345,0.011806,0.002404,3.258,3.147,3.151,3.098,-17.835,-17.386,9.277,33.267,1.828,31.9,36.0,32.2,Sc,,,,,6.3,0.9,,,1.271,0.029,0.916,0.026,151.06,,,15.401,0.357,14.189,0.378,,,,,86.65,4.4,,,,,15.812,0.084,,2496.2,4.4,2476.4,1.8,2479.2,5.0,0.106,1.556,90.0,0.83,,1.244,13.728,,,23.756,86.65,,14.986,1.258,2585.7,2608.6,2724.5,2580.2,33.005,32.78,-19.276,"<a href=""/data/SPITZER/S4G/galaxies/UGC09856.html"">Data Access</a>",-0.4664481508402556,-0.5890684757595556,0.6598669967834578,213312311,2292
UGC09858,231.672811,40.564698,118.5,77.6,0.746,148.7,80.4,0.739,103.3,77.4,0.719,145.2,81.7,0.746,12.389,0.001,12.784,0.001,0.023704,0.015015,0.001989,0.025543,0.01697,0.002313,3.583,3.516,3.634,3.534,-20.577,-20.182,10.333,39.191,5.494,29.0,47.5,39.9,SABb,B,,,,4.0,0.5,,,1.591,0.039,0.695,0.043,75.01,,,13.862,0.289,12.467,0.062,,,,,169.75,5.06,,,,,13.636,0.127,12.861,2621.0,3.8,2613.7,3.5,2617.1,3.1,0.073,1.038,90.0,0.83,,1.57,12.734,,,24.378,169.75,,12.81,0.077,2720.9,2745.2,2860.4,2719.7,33.098,32.6,-20.365,"<a href=""/data/SPITZER/S4G/galaxies/UGC09858.html"">Data Access</a>",-0.4711117097465463,-0.5959492428584587,0.6503062792839355,213312020,2293
UGC09875,232.697037,23.06614,51.1,40.5,0.1,64.4,43.3,0.135,35.0,-5.5,0.153,45.7,69.6,0.031,14.709,0.02,15.649,0.003,0.06954,0.013933,0.007519,0.038602,0.010967,0.001861,2.854,2.873,3.042,2.952,-17.721,-16.781,9.595,,,,,,SABm,B,,,,8.9,0.5,9.0,3.2,1.132,0.071,0.024,0.066,,,,15.841,0.354,15.189,0.124,,,,,30.52,1.31,,,,,15.734,0.118,,1988.8,3.6,2000.1,7.6,1990.9,3.9,0.222,0.044,20.74,0.02,1.767,1.152,15.572,,,25.19,86.16,5.66,15.712,0.14,2023.8,2080.4,2174.1,2124.5,32.507,,-16.935,"<a href=""/data/SPITZER/S4G/galaxies/UGC09875.html"">Data Access</a>",-0.5575794118023999,-0.7318490843006279,0.3917934626080712,213111221,2294
UGC09936,234.18747,44.236955,51.8,-8.2,0.531,60.1,-14.1,0.535,48.3,-7.0,0.52,55.3,-12.3,0.528,14.994,0.003,15.354,0.007,-0.01057,0.0116,0.001554,-0.057991,0.011577,0.001538,2.798,2.716,2.766,2.653,-18.054,-17.694,9.297,40.7,,40.7,40.7,40.7,SABm,B,R,,D,8.8,0.5,9.0,0.4,1.151,0.065,0.266,0.043,166.97,,,14.976,0.288,17.211,2.169,-0.14,0.37,-0.14,0.4,70.77,2.84,,,,,15.313,0.14,,2623.5,9.7,2610.3,7.0,2614.9,6.0,0.103,0.489,67.55,0.04,1.785,1.15,14.38,-0.209,0.273,23.926,76.57,3.12,15.269,0.889,2738.7,2755.0,2869.3,2698.4,33.098,,-18.718,"<a href=""/data/SPITZER/S4G/galaxies/UGC09936.html"">Data Access</a>",-0.4192263113546981,-0.5810037631877701,0.6976273554194842,213211210,2295
